index_of_pixel,label,source_of_pixel
[59 41 60],1.0,1
[37 39 29],1.0,2
[41 39 54],1.0,3
[45 47 28],1.0,9
[44 32 45],1.0,9
[23 40 29],2.0,4
[30 46 34],1.0,7
[31 43 43],1.0,9
[38 27 26],1.0,4
[57 19 33],1.0,2
[ 8 27 40],1.0,6
[58 44 36],1.0,10
[38 74 57],1.0,3
[43 42 47],2.0,3
[66 35 37],2.0,9
[44 36 27],1.0,1
[20 29 47],1.0,6
[64 60 52],1.0,10
[59 48 38],1.0,9
[40 27 34],1.0,1
[51 22 55],1.0,1
[34 25 42],1.0,1
[47 47 32],2.0,10
[57 83 43],1.0,3
[59 51 53],1.0,3
[46 42 37],2.0,10
[73 27 49],1.0,9
[27 21 27],1.0,6
[40 19 33],2.0,8
[60 38 47],2.0,3
[28 42 33],1.0,4
[39 45 44],2.0,1
[35 51 46],1.0,2
[70 69 35],1.0,3
[44 58 59],1.0,3
[36 29 37],2.0,5
[29 28 28],1.0,6
[31 43 51],1.0,3
[35 27 40],1.0,1
[39 56 32],1.0,10
[33 37 48],1.0,9
[30 46 37],1.0,9
[75 39 43],2.0,3
[53 59 59],1.0,1
[45 59 41],2.0,1
[58 30 47],1.0,9
[64 35 57],1.0,9
[26  9 10],1.0,0
[33 42 36],1.0,9
[55 49 42],1.0,3
[49 58 54],2.0,10
[34 30 51],1.0,1
[17 23 41],1.0,6
[46 25 42],1.0,9
[52 52 54],2.0,10
[51 35 54],1.0,3
[39 47 44],2.0,10
[71 58 45],1.0,3
[17 47 40],1.0,6
[34 44 42],2.0,10
[37 30 31],1.0,1
[46 38 59],1.0,3
[22 47 18],2.0,7
[60 60 34],1.0,10
[43 26 24],2.0,8
[66 49 37],1.0,10
[50 48 46],2.0,10
[40 48 37],1.0,2
[48 45 49],2.0,10
[39 69 45],1.0,3
[40 37 36],2.0,8
[ 8 30 10],1.0,0
[41 15 49],1.0,2
[35 58 56],1.0,1
[60 51 54],1.0,9
[73 36 45],2.0,3
[42 47 18],1.0,5
[64 30 41],2.0,9
[63 55 36],1.0,9
[36 68 51],1.0,3
[62 47 39],1.0,3
[81 31 42],2.0,3
[44 29 37],1.0,4
[46 49 51],2.0,10
[13  5 13],1.0,0
[40 45 40],1.0,9
[22 29 32],2.0,4
[32 53 27],1.0,5
[26 22 25],2.0,4
[64 28 57],1.0,9
[19 35 33],1.0,6
[71 28 43],2.0,3
[28 26 33],1.0,9
[24 36 29],2.0,7
[54 43 29],1.0,10
[49 35 38],1.0,8
[45 38 47],1.0,1
[40 40 26],1.0,5
[52 55 47],1.0,1
[38 28 45],1.0,9
[18 50 40],1.0,6
[15 24 33],1.0,7
[59 47 43],1.0,2
[31 22 34],1.0,6
[51 20 54],1.0,9
[69 39 32],1.0,10
[11 34 12],1.0,0
[46 56 29],1.0,9
[ 6 35 27],1.0,6
[36 48 34],2.0,8
[57 83 36],1.0,3
[50 55 33],2.0,10
[51 18 44],1.0,1
[38 49 43],2.0,10
[77 68 56],1.0,3
[45 41 49],1.0,1
[40 56 38],2.0,10
[77 60 39],1.0,3
[25 33 27],1.0,6
[68 47 54],1.0,10
[27 46 30],2.0,7
[35 33 38],1.0,10
[29 41 25],2.0,7
[19 37  7],1.0,0
[26 41 28],2.0,7
[16 31 22],1.0,6
[40 35 33],1.0,10
[35 46 29],2.0,8
[46 35 33],1.0,9
[45 40 31],1.0,10
[51 24 59],1.0,9
[58 42 44],1.0,9
[32 46 33],2.0,8
[58 48 36],1.0,9
[29 51 31],2.0,8
[62 21 52],1.0,9
[43 37 54],1.0,9
[32 55 39],2.0,1
[71 37 49],1.0,10
[44 33 38],2.0,8
[45 53 27],1.0,2
[32 21 21],1.0,8
[48 36 33],1.0,3
[22 49 45],1.0,6
[61 32 45],2.0,3
[55 51 37],1.0,2
[31 43 17],2.0,7
[64 72 41],1.0,3
[58 51 24],1.0,2
[41 33 28],2.0,8
[49 84 56],1.0,3
[34 50 53],1.0,3
[46 62 40],2.0,10
[40 33 29],1.0,2
[31 13 39],1.0,8
[45 23 27],1.0,5
[54 67 24],1.0,3
[25 38 15],2.0,7
[44 52 40],1.0,2
[19 35 27],2.0,7
[42 42 48],2.0,10
[50 55 56],1.0,3
[29 41 31],2.0,7
[50 49 34],1.0,4
[31 23 37],1.0,6
[38 52 31],1.0,3
[37 56 46],1.0,3
[36 42 28],1.0,7
[45 18 40],1.0,1
[77 34 50],2.0,3
[63 49 49],1.0,3
[78 34 50],2.0,3
[79 51 56],1.0,3
[30 32 16],2.0,7
[41 21 36],1.0,1
[10 29  5],1.0,0
[43 55 43],1.0,3
[40 45 37],2.0,10
[71 37 41],2.0,3
[41 10 40],1.0,2
[12 34 25],2.0,7
[33 57 45],1.0,3
[22 25 40],1.0,6
[48 44 30],1.0,3
[18 47 42],1.0,6
[44 29 36],1.0,1
[10 36 15],2.0,7
[58 51 53],1.0,1
[62 39 47],1.0,9
[35 20 36],2.0,8
[50 49 55],1.0,3
[36 21 39],1.0,4
[24 39 35],1.0,6
[40 43 25],1.0,4
[11 46 18],2.0,7
[55 43 53],2.0,10
[55 43 36],1.0,2
[48 52 37],1.0,1
[36 38 30],1.0,5
[30 55 23],1.0,7
[28 31 27],2.0,7
[47 38 25],1.0,4
[39 50 46],1.0,3
[49 65 51],1.0,3
[51 55 47],2.0,10
[33 18 35],1.0,2
[38 27 33],1.0,2
[26 16 35],1.0,6
[29 43 28],1.0,8
[38 55 49],1.0,9
[16 22 29],1.0,7
[33 14 32],1.0,8
[31 35 38],1.0,6
[36 52 17],1.0,5
[63 39 41],2.0,9
[41 82 45],1.0,3
[40 25 30],2.0,8
[36 50 32],1.0,9
[37 44 59],1.0,1
[76 34 50],2.0,3
[67 45 58],1.0,9
[24 34 28],1.0,6
[48 37 40],1.0,1
[31 37 25],1.0,1
[11 48 31],1.0,7
[20 15 11],1.0,0
[23 47 38],1.0,7
[29 43 47],2.0,1
[39 48 45],1.0,2
[16 15  6],1.0,0
[71 73 47],1.0,3
[48 38 46],2.0,10
[31 40 37],1.0,3
[30 41 45],1.0,6
[77 79 59],1.0,3
[36 30 47],1.0,9
[35 15 31],2.0,8
[60 56 47],1.0,10
[23 35 43],1.0,9
[60 46 55],1.0,3
[40 66 59],1.0,3
[11 19  9],1.0,0
[45 56 41],1.0,3
[19 38 28],2.0,7
[13 31  1],1.0,0
[24 31 49],1.0,9
[43 49 23],1.0,3
[51 72 24],1.0,3
[39 24 36],2.0,8
[47 41 36],1.0,9
[75 23 36],2.0,3
[47 44 28],1.0,5
[51 46 36],1.0,3
[48 53 45],2.0,10
[67 43 31],1.0,9
[76 43 34],1.0,3
[41 36 25],1.0,5
[24 24 44],1.0,9
[27 30 48],1.0,1
[34 45 47],2.0,1
[72 63 45],1.0,3
[44 52 39],1.0,3
[76 47 36],1.0,10
[17 43 33],2.0,7
[48 30 46],1.0,1
[53 41 43],1.0,1
[39 56 37],2.0,10
[34 27 55],1.0,9
[58 33 34],1.0,3
[40 61 40],1.0,3
[34 52 35],1.0,2
[28 39 17],2.0,7
