index_of_pixel,label,source_of_pixel
[70 61 49],1.0,2
[66 34 51],2.0,3
[36 20 25],2.0,4
[73 38 57],1.0,3
[40 23 25],2.0,4
[48 53 33],1.0,9
[39 22 41],1.0,1
[65 38 50],2.0,3
[36 56 47],2.0,10
[68 53 44],1.0,10
[55 27 52],1.0,9
[37 24 29],2.0,4
[69 51 52],1.0,10
[26 52 18],2.0,7
[37 56 47],2.0,10
[61 55 38],1.0,3
[36 55 48],2.0,10
[52 37 45],1.0,1
[49 32 35],1.0,9
[46 21 54],1.0,1
[40 50 50],2.0,10
[33 49 35],1.0,2
[53 82 59],1.0,3
[19 31 25],2.0,6
[38 21 38],2.0,5
[56 56 39],1.0,3
[40 22 39],2.0,5
[60 50 43],1.0,3
[42 13 40],1.0,4
[31 26 35],2.0,5
[46 47 23],1.0,5
[48 42 29],1.0,1
[20 37 14],1.0,0
[14 12 21],2.0,0
[64 59 40],1.0,3
[72 55 32],1.0,10
[76 36 53],2.0,3
[34 26 32],2.0,4
[40 55 42],1.0,3
[35 29 34],1.0,7
[47 21 35],1.0,1
[39 24 37],1.0,1
[25 32 16],2.0,7
[55 32 42],2.0,3
[53 61 37],1.0,3
[30 16 35],2.0,8
[47 53 29],1.0,3
[43 19 26],1.0,4
[29 55 27],2.0,7
[59 23 48],1.0,1
[34 23 39],2.0,2
[35 53 50],1.0,3
[19 23 17],1.0,7
[40 31 28],1.0,1
[56 26 56],1.0,1
[60 11 49],1.0,2
[20 17 16],2.0,0
[38 55 42],1.0,3
[68 60 32],1.0,3
[34 36 59],1.0,1
[35 58 45],1.0,10
[68 34 55],1.0,3
[46 27 36],1.0,9
[31 33 35],1.0,1
[33 31 27],2.0,7
[42 43 36],1.0,9
[47 50 30],1.0,4
[70 39 45],2.0,3
[16 34 19],1.0,0
[65 37 51],2.0,3
[36 58 42],2.0,10
[48 47 58],1.0,3
[59 54 36],1.0,9
[32 28 28],2.0,7
[33 38 15],2.0,7
[35 54 41],2.0,10
[69 44 26],1.0,10
[17 50 27],1.0,6
[63 28 46],2.0,3
[29 17 39],1.0,8
[58 39 50],2.0,3
[46 53 34],1.0,3
[32 30 36],2.0,5
[52 16 43],1.0,2
[65 24 45],2.0,3
[37 25 39],1.0,7
[42 36 27],1.0,1
[63 73 43],1.0,3
[45 13 40],1.0,4
[69 30 37],1.0,9
[57 50 48],1.0,1
[48 22 62],1.0,1
[49 45 27],1.0,9
[48 53 27],1.0,3
[67 34 45],1.0,9
[58 25 48],1.0,1
[40 43 47],2.0,3
[21 19 16],1.0,7
[37 24 57],1.0,1
[65 79 32],1.0,3
[67 77 37],1.0,3
[15 33 39],1.0,7
[37 28 38],2.0,5
[29 24 39],1.0,7
[69 37 30],1.0,10
[38 50 48],2.0,10
[51 32 37],1.0,8
[55 27 52],1.0,1
[66 43 47],1.0,3
[35 21 23],2.0,4
[37 23 44],1.0,1
[62 37 48],2.0,3
[45 67 46],2.0,10
[40 50 52],2.0,10
[20 13 20],2.0,0
[42 23 38],2.0,5
[36 30 30],1.0,7
[37 21 33],2.0,2
[32 29 27],1.0,5
[43 34 42],2.0,3
[35 49 48],1.0,2
[40 52 32],1.0,4
[29 50 15],2.0,7
[59 33 44],2.0,3
[52 59 55],1.0,1
[51 57 49],1.0,3
[58 61 50],1.0,10
[36 48 47],2.0,10
[13 21 25],2.0,6
[32 45 38],1.0,3
[26 21 35],2.0,8
[39 41 34],1.0,9
[61 40 48],2.0,3
[61 47 48],1.0,2
[44 63 49],2.0,10
[10 20 26],1.0,7
[39 34 63],1.0,1
[72 60 38],1.0,3
[33 58 47],1.0,10
[51 24 36],1.0,2
[60 49 46],1.0,3
[46 31 31],1.0,1
[58 64 50],1.0,10
[41 45 20],1.0,5
[52 85 51],1.0,3
[26 38  9],1.0,0
[69 49 50],1.0,10
[47 15 31],1.0,4
[65 65 56],1.0,3
[47 69 42],1.0,3
[58 44 47],1.0,9
[70 40 42],1.0,9
[17 51 28],1.0,6
[67 31 53],2.0,3
[46 19 28],1.0,8
[59 51 41],1.0,3
[13 27 31],1.0,6
[44 30 62],1.0,1
[73 49 60],1.0,3
[55 51 53],1.0,3
[55 40 48],1.0,1
[47 12 36],1.0,4
[37 55 40],2.0,10
[60 28 41],2.0,9
[60 39 40],1.0,10
[42 61 49],1.0,3
[67 20 36],1.0,2
[76 26 47],2.0,3
[74 61 58],1.0,3
[64 42 43],1.0,10
[ 7 31 10],1.0,0
[41 27 23],1.0,2
[24 29 16],2.0,7
[59 27 42],2.0,3
[36 49 45],1.0,3
[32 31 35],2.0,5
[69 23 45],2.0,3
[38 52 48],2.0,10
[60 40 51],2.0,3
[28 45 27],1.0,4
[71 40 43],2.0,3
[57 31 46],2.0,3
[56 33 60],1.0,3
[47 21 34],2.0,5
[76 34 52],2.0,3
[44 51 51],1.0,9
[54 51 29],1.0,3
[52 47 55],1.0,9
[71 52 38],1.0,3
[53 33 54],1.0,9
[37 47 42],1.0,9
[28 49 18],2.0,7
[42 52 48],1.0,2
[42 32 27],1.0,2
[57 34 37],2.0,9
[37 46 47],1.0,3
[61 45 41],1.0,9
[26 30 16],2.0,7
[21 24 26],2.0,4
[47 27 35],1.0,9
[ 3 43 44],1.0,6
[38 50 51],2.0,10
[28 15 38],1.0,8
[68 38 39],2.0,3
[35 41 34],1.0,4
[37 55 48],2.0,10
[50 37 52],1.0,1
[35 26 38],2.0,5
[54 24 55],1.0,1
[66 50 38],1.0,10
[67 63 30],1.0,3
[42 19 29],1.0,4
[48 27 42],1.0,1
[47 41 23],1.0,2
[27 59 23],1.0,7
[27 26 41],1.0,4
[58 39 38],1.0,10
[55 32 48],1.0,9
[43 45 57],1.0,1
[26 39 52],1.0,1
[48 48 35],1.0,2
[40 52 28],1.0,9
[66 53 36],1.0,3
[51 48 56],1.0,1
[42 56 24],1.0,5
[ 8 22 25],1.0,7
[15 36 29],1.0,6
[78 43 40],1.0,3
[71 46 49],1.0,10
[34 74 57],1.0,3
[20 25 19],1.0,7
[15 11 22],2.0,0
[32 37 35],2.0,1
[48 49 48],1.0,9
[56 44 49],2.0,10
[45 78 39],1.0,3
[61 29 59],1.0,9
[31 40 39],1.0,2
[31 31 41],1.0,10
[75 56 56],1.0,3
[70 38 31],1.0,3
[39 19 31],1.0,2
[30 30 18],2.0,7
[54 59 42],1.0,2
[35 51 48],1.0,9
[43 27 29],1.0,2
[51 46 31],1.0,9
[57 54 53],1.0,3
[43 31 52],1.0,10
[42 13 32],1.0,8
[48 55 42],1.0,3
[68 45 35],1.0,3
[39 54 50],2.0,10
[35 47 48],2.0,10
[49 23 36],2.0,5
[72 24 49],2.0,3
[34 37 34],2.0,1
[55 46 54],2.0,10
[54 31 42],2.0,3
[59 62 23],1.0,3
[31 16 35],2.0,8
[26 49 22],2.0,7
[40 21 37],2.0,5
[30 31 19],2.0,7
[40 40 49],2.0,3
[30 28 24],2.0,7
[63 18 32],1.0,2
[37 36 42],1.0,9
[26 33 15],2.0,7
[35 38 30],1.0,5
[29 30 20],2.0,7
[66 37 40],2.0,3
[18 15 25],2.0,0
[26 29 17],1.0,7
[53 67 23],1.0,3
[70 33 48],2.0,3
[44 50 46],1.0,2
[38 45 55],1.0,3
[71 41 58],1.0,3
[35 25 35],1.0,7
[17 10 19],2.0,0
[39 17 30],1.0,7
[51 46 36],1.0,9
[18 48 16],2.0,7
[23 47 33],1.0,8
[52 55 43],1.0,3
[43 36 34],2.0,1
[56 32 36],2.0,9
[57 49 48],1.0,3
[48 14 37],2.0,2
[19 16 21],2.0,0
[52 22 42],1.0,9
[65 34 40],2.0,9
[60 36 60],1.0,3
[48 42 55],1.0,9
[69 38 41],2.0,3
[40 31 52],2.0,10
[69 32 56],1.0,3
[27 49 27],2.0,8
[36 30 33],1.0,9
[60 40 46],2.0,3
[30 44 43],1.0,10
[41 37 36],2.0,5
[62 32 53],1.0,1
[61 58 42],1.0,9
[49 33 25],1.0,2
[46 48 31],1.0,9
[69 42 35],1.0,9
[64 38 55],1.0,9
[72 38 55],1.0,3
[53 33 49],1.0,1
[33 39 40],1.0,4
[44 34 34],1.0,4
[37 22 58],1.0,9
[54 51 26],1.0,3
[62 52 35],1.0,10
[24 34 10],1.0,0
[29 25 49],1.0,9
[37 29 38],1.0,9
[57 53 46],1.0,9
[41 72 34],1.0,3
[39 79 45],1.0,3
[44 25 35],1.0,2
[62 48 49],1.0,10
[62 76 42],1.0,3
[34 40 53],1.0,9
[24 55 40],1.0,6
[32 35 15],2.0,7
[60 18 40],1.0,2
[61 64 34],1.0,3
[34 49 34],1.0,3
[27 28 38],1.0,4
[56 60 28],1.0,10
[ 5 28 44],1.0,6
[47 30 38],1.0,8
[38 44 35],1.0,9
[35 42 30],1.0,4
[36 24 23],2.0,4
[47 22 33],2.0,5
[43 21 35],2.0,5
[42 52 31],2.0,1
[39 56 44],1.0,9
[28 54 28],2.0,7
[ 9 43 20],2.0,7
[69 51 35],1.0,10
[61 43 36],1.0,9
[21 39 40],1.0,4
[37 53 32],1.0,3
[34 48 17],1.0,5
[19 28 25],2.0,7
[56 22 44],1.0,1
[14 16 25],1.0,7
[51 55 54],1.0,3
[53 39 38],1.0,5
[21 37 26],2.0,4
[55 38 38],1.0,5
[62 37 49],1.0,9
[27 28 24],2.0,7
[53 85 54],1.0,3
[58 48 33],1.0,3
[42 38 34],2.0,1
[67 41 30],1.0,3
[42 65 45],2.0,10
[37 49 38],1.0,4
[64 31 37],2.0,9
[30 58 23],1.0,7
[79 20 47],1.0,3
[12 30 15],1.0,7
[27 40 51],1.0,1
[28 30 30],2.0,7
[18 33  9],1.0,0
[36 23 39],2.0,2
[61 32 52],1.0,1
[29 37 34],2.0,4
[54 29 39],2.0,9
[29 16 30],2.0,8
[31 28 24],2.0,7
[32 42 44],2.0,10
[33 23 26],2.0,4
[ 8 49 27],2.0,7
[50 42 50],2.0,3
[42 23 27],1.0,2
[56 63 41],1.0,3
[47 66 46],2.0,10
[15 52 35],1.0,7
[41 36 46],2.0,3
[39 56 45],2.0,10
[29 23 23],2.0,4
[15 13 19],2.0,0
[68 49 35],1.0,3
[42 64 44],2.0,10
[32 35 33],2.0,4
[10 41 24],2.0,6
[80 24 36],2.0,3
[60 36 44],2.0,3
[40 24 36],2.0,5
[41 40 28],1.0,1
[66 53 47],1.0,9
[59 46 44],1.0,10
[59 64 46],1.0,10
[23 20 12],1.0,0
[50 49 26],1.0,5
[39 28 38],1.0,1
[12 51 27],2.0,7
[23 20 27],1.0,8
[58 39 31],1.0,10
[64 52 43],1.0,2
[36 47 48],1.0,2
[57 45 54],1.0,3
[32 45 42],1.0,3
[60 29 40],2.0,9
[69 52 33],1.0,3
[29 27 26],2.0,4
[57 72 42],1.0,3
[57 50 36],1.0,3
[19 32 25],1.0,0
[34 35 37],1.0,7
[53 25 34],2.0,5
[36 42 54],1.0,9
[55 33 40],2.0,3
[69 53 31],1.0,3
[48 22 33],2.0,5
[68 37 48],2.0,3
[60 38 53],1.0,9
[56 42 51],1.0,9
[35 39 27],2.0,7
[53 55 39],1.0,2
[52 30 27],1.0,2
[62 49 35],1.0,9
[31 20 23],2.0,4
[68 37 42],1.0,9
[71 44 33],1.0,10
[21 34 23],2.0,4
[47 23 33],1.0,8
[58 40 45],2.0,3
[49 53 42],1.0,3
[72 42 33],1.0,3
[27 19 19],1.0,7
[41 54 32],1.0,9
[54 50 43],1.0,2
[76 49 37],1.0,10
[51 56 53],1.0,3
[31 27 43],1.0,1
[21 19 18],1.0,7
[60 43 44],1.0,3
[37 54 34],1.0,9
[47 57 38],1.0,9
[47 72 30],1.0,3
[50 56 29],1.0,2
[13 15 10],1.0,0
[25 54 39],1.0,6
[41 56 45],1.0,2
[58 67 40],1.0,3
[59 59 40],1.0,10
[81 35 34],1.0,3
[40 13 32],1.0,8
[67 53 36],1.0,9
[37 36 17],1.0,5
[52 48 41],1.0,9
[40 28 22],1.0,8
[33 41 35],1.0,3
[33 57 32],1.0,5
[11 17 27],1.0,7
[71 52 54],1.0,3
[51 63 44],1.0,3
[52 39 32],1.0,4
[48 52 35],1.0,5
[22 49 16],2.0,7
[53 68 47],1.0,3
[32 46 42],1.0,2
[53 48 44],1.0,9
[34 59 44],1.0,10
[74 57 40],1.0,3
[56 28 51],1.0,1
[55 66 49],1.0,2
[67 52 35],1.0,9
[23 31 37],2.0,7
[64 29 42],2.0,9
[57 63 44],1.0,3
[51 66 30],1.0,3
[29 26 37],1.0,7
[ 6 28 29],2.0,7
[41 55 34],1.0,2
[67 40 44],1.0,2
[44 65 54],1.0,3
[60 48 44],1.0,10
[38 62 31],1.0,3
[51 49 31],1.0,1
[56 38 35],1.0,10
[24 19 34],1.0,4
[66 25 44],2.0,3
[36 24 19],1.0,8
[50 80 52],1.0,3
[24 36 45],1.0,9
[57 44 24],1.0,2
[37 27 21],1.0,5
[70 50 44],1.0,3
[53 53 52],1.0,3
[28 34 26],2.0,4
[35 29 32],1.0,7
[51 51 41],1.0,3
[34 39 30],1.0,7
[23 12  7],1.0,0
[59 50 49],1.0,1
[44 52 36],1.0,9
[49 40 48],1.0,9
[37 41 39],1.0,2
[61 71 29],1.0,3
